pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome,batter_stand,hit_distance,player
FF,fly_ball,10.24,150.29,91,30.2,field_out,R,358,trout
FF,fly_ball,-70.65,82.7,82.2,49.7,field_out,R,259,trout
FF,ground_ball,-21.59,18.46,49.1,13.8,force_out,R,75,trout
SI,fly_ball,-23.54,191.36,111.1,25.5,home_run,R,455,trout
FF,ground_ball,-14.51,41.84,82.1,-6,single,R,20,trout
FF,fly_ball,27.14,113.78,96.8,52,field_out,R,280,trout
FT,ground_ball,-9.14,43.05,103.4,-8,field_out,R,20,trout
SL,fly_ball,51.4,95.85,81.4,40,field_out,R,260,trout
FF,fly_ball,3.23,137.05,100.5,46.3,field_out,R,326,trout
FF,fly_ball,-92.32,160.77,109.7,27.3,home_run,R,437,trout
CH,popup,17.05,18.11,80,69,field_out,R,NA,trout
CH,line_drive,-2.87,100.76,75.7,23.8,single,R,244,trout
SL,fly_ball,58.3,73.42,69.7,33.7,single,R,223,trout
FF,fly_ball,-31.69,132.04,108.7,49.7,field_out,R,323,trout
FF,line_drive,-41.7,57.24,75.1,17.3,single,R,173,trout
CU,popup,-8.14,20.64,80,69,field_out,R,NA,trout
FF,popup,28.54,66.62,73.9,56.9,field_out,R,178,trout
FF,fly_ball,-99.69,159.07,114,24.6,home_run,R,442,trout
SL,popup,29.28,50.32,80,69,field_out,R,NA,trout
SI,line_drive,31.64,101.42,112.8,5.8,single,R,169,trout
FT,ground_ball,-22.72,44.52,109.3,2.4,force_out,R,79,trout
FC,fly_ball,22.39,120.63,93.4,47.2,field_out,R,293,trout
SI,line_drive,15.2,96.95,84.4,11,single,R,149,trout
FF,fly_ball,9.93,158.78,98.2,24.2,field_out,R,377,trout
FF,ground_ball,-17.64,38.43,84.7,0,field_out,R,41,trout
FF,ground_ball,-25.26,29.79,99.9,-12.1,field_out,R,10,trout
FF,fly_ball,-3.41,82.62,78.1,51.2,field_out,R,220,trout
FF,popup,20.97,56.21,80,69,field_out,R,NA,trout
CU,popup,30.11,31.83,80,69,field_out,R,NA,trout
SI,line_drive,9.95,121.98,91.9,18.1,field_out,R,293,trout
FF,line_drive,-57.26,78.08,81.7,20.4,single,R,233,trout
SL,fly_ball,-0.87,127.18,80.5,31.2,field_out,R,304,trout
SI,line_drive,-105.34,119.7,109.7,20.5,triple,R,375,trout
FF,ground_ball,-20.05,39.16,108.6,2.2,field_out,R,79,trout
FF,fly_ball,-46.7,138.49,106.7,44.9,field_out,R,365,trout
CU,ground_ball,27.8,32.5,82.9,-20.7,field_out,R,NA,trout
FF,line_drive,-110.11,119.32,112.2,22.6,home_run,R,383,trout
FT,ground_ball,-1.88,10.69,90.3,-17.3,single,R,NA,trout
SL,popup,-8.61,92.01,92.7,58.1,field_out,R,224,trout
FF,popup,-0.87,54.92,50.7,47.2,field_out,R,139,trout
FF,line_drive,16.12,129.44,90.9,16.4,single,R,263,trout
SI,line_drive,-66.58,84.25,102.2,16.5,single,R,256,trout
CH,ground_ball,9.55,10.95,82.9,-20.7,field_error,R,NA,trout
SL,fly_ball,6.17,185.09,107,28.6,home_run,R,438,trout
FC,line_drive,-62.4,78.18,102.1,10.8,single,R,186,trout
FF,line_drive,-4.86,103.16,76.3,15.4,single,R,182,trout
CH,fly_ball,-32.8,174.04,105.5,28.1,home_run,R,419,trout
FF,ground_ball,15.74,55.92,75.6,1.6,single,R,50,trout
FF,fly_ball,34.35,107.01,96.4,53.4,field_out,R,269,trout
SL,fly_ball,34.66,138.14,97.3,32.8,field_out,R,368,trout
CH,fly_ball,-9.53,135.69,87.6,37,field_out,R,324,trout
SL,line_drive,-47.69,117.08,97.9,16.1,field_out,R,302,trout
FF,fly_ball,51.85,98.61,78.7,40.4,field_out,R,266,trout
KC,fly_ball,29.88,146.65,96,36.5,field_out,R,355,trout
FT,fly_ball,-100.02,151.4,106.4,28.9,home_run,R,428,trout
FT,ground_ball,-3.41,14.55,82.9,-20.7,field_out,R,NA,trout
SI,popup,17.41,42.49,96.8,71.3,field_out,R,117,trout
CU,line_drive,-54.85,58.21,93.4,15.7,double,R,193,trout
SL,line_drive,-37.74,116.92,94.7,18.3,single,R,253,trout
FT,fly_ball,-32.99,170.58,104.1,27.2,home_run,R,412,trout
SL,fly_ball,-71.16,173.38,109.9,23.2,home_run,R,442,trout
FT,fly_ball,54.2,61.67,65.9,30.3,single,R,197,trout
FF,line_drive,55.84,123.11,88.4,28.8,field_out,R,321,trout
SL,line_drive,-78.22,73.91,85.2,23.5,double,R,256,trout
SL,ground_ball,-25.49,29.83,61,-35.6,field_out,R,3,trout
FF,line_drive,-13.42,117.61,87.1,17.9,single,R,246,trout
CU,fly_ball,0.29,106.62,74,36.7,field_out,R,257,trout
CU,fly_ball,14.23,149.87,98.9,35.1,field_out,R,357,trout
SL,fly_ball,66.28,109.22,93.5,44.5,field_out,R,302,trout
SL,line_drive,-66.33,75.83,81.4,21.6,double,R,241,trout
FF,line_drive,-82.62,144.43,109.4,20.4,home_run,R,394,trout
CH,fly_ball,-38.59,134.77,95.6,40.7,field_out,R,333,trout
CH,fly_ball,-23.09,157.62,106.4,41.9,home_run,R,405,trout
FC,ground_ball,3.7,15.19,73.8,-4.1,field_out,R,24,trout
FT,popup,24.9,39.42,80,69,field_out,R,NA,trout
FT,ground_ball,-19.32,29.73,104.2,5,force_out,R,105,trout
FF,fly_ball,21.25,98.45,76,42.4,field_out,R,243,trout
SL,fly_ball,41.25,142.38,104.1,39.4,field_out,R,370,trout
CU,ground_ball,-54.97,77.59,96.8,3.9,single,R,73,trout
SL,popup,43.34,17.61,80,69,field_out,R,NA,trout
SL,line_drive,-26.42,49.17,108.1,9.2,single,R,187,trout
SL,fly_ball,35.18,78.41,90.2,59.4,field_out,R,208,trout
SL,fly_ball,-10.52,139.3,84.8,29.2,field_out,R,333,trout
FT,fly_ball,-99.72,122.95,96.8,36.8,home_run,R,374,trout
SL,line_drive,-75.42,131.73,108.1,17.4,double,R,359,trout
SL,popup,16.58,62.73,72.2,58.2,field_out,R,160,trout
CU,popup,29.86,75.57,92.7,60.7,field_out,R,197,trout
SL,line_drive,-61.95,63.29,100.2,12.5,double,R,180,trout
SI,fly_ball,-73.34,111.68,83.4,32.6,field_out,R,317,trout
CH,ground_ball,-2.01,115.79,83.9,13.7,single,R,149,trout
SL,ground_ball,-72.95,88.48,107.4,1,double,R,49,trout
SI,line_drive,-34.58,119.09,81,25.6,sac_fly,R,297,trout
FF,popup,33.95,34.02,65.9,65.9,field_out,R,122,trout
FF,ground_ball,-0.26,-4.6,63.1,-16.4,force_out,R,8,trout
SL,fly_ball,-62.6,102.14,80.1,37.9,field_out,R,286,trout
FF,line_drive,-32.64,41.11,59.6,18.1,field_out,R,132,trout
SL,fly_ball,NA,NA,111,29.2,home_run,R,454,trout
SL,ground_ball,-21.56,30.97,96.6,-16.1,field_error,R,6,trout
CH,fly_ball,-90.04,130.98,98.1,35.4,home_run,R,376,trout
CH,ground_ball,-14.13,36.94,90.5,-2.3,force_out,R,20,trout
FF,ground_ball,20.85,39.48,75.7,-15.6,field_out,R,7,trout
CH,line_drive,-52.19,167.72,114.4,18.3,home_run,R,416,trout
SL,fly_ball,-78.63,99.75,97.3,48.5,field_out,R,301,trout
CH,line_drive,-21.23,44.55,107,7.8,field_out,R,146,trout
FC,line_drive,11.93,147.74,101.8,17.6,field_out,R,352,trout
FC,line_drive,-33.17,37.55,83.2,11.2,field_out,R,135,trout
SL,line_drive,-65.58,80.95,108.3,14.6,double,R,249,trout
FC,ground_ball,-27.97,29.4,71.2,-0.9,fielders_choice,R,29,trout
FF,line_drive,-5.2,69.32,78.3,13.5,field_out,R,173,trout
FF,ground_ball,18.05,31.11,49.8,-0.5,field_out,R,29,trout
FF,line_drive,19.56,39.01,51.9,20.2,field_out,R,112,trout
CU,fly_ball,6.7,95.96,93.3,56.1,field_out,R,232,trout
FC,fly_ball,-96.63,144.05,107.6,37.1,home_run,R,409,trout
CH,ground_ball,27.36,30.33,55.9,-12.7,field_out,R,6,trout
CU,ground_ball,-18.41,48.78,78.5,0.7,force_out,R,36,trout
SL,line_drive,-74.93,83.04,101.5,16.3,double,R,267,trout
CH,line_drive,-61.08,73.09,102.1,9.5,double,R,155,trout
SI,fly_ball,-46.14,186.76,111,27.8,home_run,R,454,trout
CU,ground_ball,-17.13,41.99,71,-12.3,field_out,R,7,trout
FC,fly_ball,27.34,177.08,106.4,28.1,home_run,R,424,trout
FF,fly_ball,54.24,156.32,103.1,22.6,home_run,R,391,trout
SL,fly_ball,45.17,138.89,91.5,31.2,sac_fly,R,347,trout
FF,fly_ball,11.86,148.1,103.8,42.6,field_out,R,353,trout
SL,line_drive,-18.33,89.27,73.8,21.2,single,R,221,trout
FF,ground_ball,-19.67,34.37,89,-14.4,grounded_into_double_play,R,9,trout
SL,line_drive,-1.57,65.68,66.2,16.3,field_out,R,163,trout
FF,fly_ball,-75.28,151.03,101.1,27.5,home_run,R,399,trout
FF,fly_ball,-33.89,62.3,89.2,39.3,field_out,R,NA,trout
SL,fly_ball,32.88,121.05,81.5,32.9,field_out,R,299,trout
FF,fly_ball,3.44,112.01,76.3,37.4,field_out,R,269,trout
FF,line_drive,45.4,121.74,86.5,27,field_out,R,310,trout
FF,line_drive,52.5,67.25,81.6,15,single,R,206,trout
FT,fly_ball,-94.23,163.59,112.8,27,home_run,R,445,trout
CH,fly_ball,NA,NA,111,24.4,home_run,R,398,trout
FT,fly_ball,53.91,169.38,105.3,22.2,home_run,R,420,trout
SL,popup,47.18,26.44,80,69,field_out,R,NA,trout
FF,fly_ball,-0.56,155.72,102.2,39.1,field_out,R,369,trout
FF,ground_ball,-22.47,47.03,69.2,0.9,field_out,R,41,trout
SI,line_drive,29.55,130.62,98.9,13.7,single,R,260,trout
FC,fly_ball,-59.6,129.34,98.3,35.4,field_out,R,370,trout
FF,line_drive,12.82,113.47,89.8,11.5,single,R,180,trout
SI,line_drive,28.74,141.89,108.8,13.8,field_out,R,344,trout
FF,fly_ball,-0.33,135.98,103.5,48.9,field_out,R,324,trout
FF,popup,4.6,-17.84,81.1,83.6,field_out,R,37,trout
FF,fly_ball,-58.75,126.93,85.3,32.6,field_out,R,332,trout
FF,fly_ball,-81.4,107.53,92.5,31,field_out,R,361,trout
SI,line_drive,-15.44,108.66,86.3,11.9,single,R,215,trout
CH,line_drive,-55.8,110.49,79.6,27.6,field_out,R,295,trout
FF,fly_ball,62.08,103.99,96.3,50.2,field_out,R,288,trout
CH,ground_ball,-22.99,44.54,75.3,-11,field_out,R,5,trout
FF,popup,54.54,32.43,69.9,60.3,field_out,R,147,trout
FF,fly_ball,22.44,154.17,101.1,30.9,field_out,R,388,trout
FF,fly_ball,10.32,90.58,73.4,45.1,single,R,222,trout
FF,ground_ball,-17.59,50.74,65.6,12.7,field_out,R,109,trout
FT,line_drive,-13.66,104.36,80.9,21.4,single,R,254,trout
CH,line_drive,-63.69,98.88,95.2,11.1,single,R,168,trout
FT,ground_ball,25.71,30.81,64.9,1.1,field_out,R,40,trout
FT,ground_ball,-14.26,53.69,69.5,10.7,field_out,R,113,trout
SI,line_drive,-41.56,72.1,82.8,11.5,single,R,145,trout
FF,ground_ball,-17.97,24.71,97.9,-14,field_out,R,8,trout
FF,ground_ball,-17.97,19.63,90.3,-17.3,single,R,NA,trout
FF,line_drive,-8.93,130.61,90.7,15.6,single,R,264,trout
SL,fly_ball,44.64,130.81,89.2,32,field_out,R,328,trout
SL,line_drive,-56.42,72.27,107,12.2,double,R,218,trout
FT,line_drive,26.67,138.39,106.9,10.6,single,R,280,trout
FT,ground_ball,9.71,53.35,79.2,-0.8,field_out,R,24,trout
FC,line_drive,-55.67,127.29,112.4,12.5,single,R,266,trout
SL,fly_ball,-52.98,136.89,94.8,38.9,field_out,R,348,trout
FF,fly_ball,-53.05,175.77,110.9,22.1,home_run,R,434,trout
FF,fly_ball,-69.83,163.35,111.3,33.5,home_run,R,420,trout
FT,popup,-17.02,68.23,80,69,field_out,R,NA,trout
SL,ground_ball,23.51,22.68,65.3,-6.3,field_out,R,11,trout
SL,fly_ball,79.63,127.62,100.7,39.7,field_out,R,354,trout
FT,ground_ball,62.41,86.66,90.5,-7.7,single,R,12,trout
FF,fly_ball,-33.25,190.46,110.6,23,home_run,R,456,trout
SI,line_drive,-47.57,122.33,91.9,14.3,single,R,238,trout
FF,line_drive,-52.79,142.13,110.8,15.2,double,R,360,trout
FF,line_drive,-35.48,132.51,85.3,27.3,field_out,R,327,trout
SL,fly_ball,-108.39,137.55,104.6,28,home_run,R,413,trout
FF,fly_ball,21.42,148.18,98.5,39.8,field_out,R,355,trout
FF,line_drive,-79.35,116.41,108.4,12.7,single,R,248,trout
FF,line_drive,-10.95,76.82,88,12.8,field_out,R,191,trout
CU,ground_ball,-20.11,30.85,77.6,7.7,field_out,R,90,trout
FF,fly_ball,19.26,138.67,103,50,field_out,R,298,trout
FF,popup,-55.85,30.25,80,69,field_out,R,NA,trout
FF,line_drive,-26.92,143.16,94.1,23,double,R,347,trout
FF,popup,43.85,15.95,80,69,field_out,R,NA,trout
CH,line_drive,-53.9,102.36,84.1,21.5,field_out,R,277,trout
SL,fly_ball,-57.26,120.88,82.2,30.7,field_out,R,318,trout
FF,fly_ball,61.81,105.73,103.3,52.5,field_out,R,291,trout
SL,fly_ball,-35.09,165.87,103.6,31.7,home_run,R,402,trout
FF,line_drive,-60.75,113.63,108.7,16.3,field_out,R,307,trout
FF,line_drive,65.39,77.45,92.3,15.1,triple,R,242,trout
FF,fly_ball,-107.26,147.47,110.3,25.8,home_run,R,429,trout
FF,fly_ball,49.98,90.8,80,45.8,field_out,R,248,trout
SI,line_drive,-89.48,98.45,112.1,19,double,R,346,trout
SI,line_drive,-70.76,128.86,108.9,16.4,field_out,R,349,trout
FF,ground_ball,-9.26,53.63,83,-11.1,field_out,R,15,trout
FF,fly_ball,-117.57,124.43,106.9,25,home_run,R,403,trout
FT,fly_ball,76.16,94.93,94.3,49.1,field_out,R,288,trout
FF,fly_ball,-12.04,123.08,102.2,50.8,field_out,R,296,trout
CU,fly_ball,-52.2,166.6,107.7,25,home_run,R,413,trout
FF,fly_ball,56.62,118.18,89.7,36.2,field_out,R,312,trout
FF,popup,21.9,-0.88,80,69,field_out,R,NA,trout
FF,line_drive,-71.22,76.93,96.1,13.6,single,R,198,trout
FF,line_drive,8.56,61.84,55,26.2,field_out,R,156,trout
SI,ground_ball,-21.23,26.3,106,-1.7,field_out,R,32,trout
FT,line_drive,-28.96,67.19,65.1,20.5,single,R,180,trout
SI,ground_ball,-50.63,83.08,99,6.1,single,R,114,trout
FC,line_drive,31.07,89.57,75.6,14.2,single,R,175,trout
SL,fly_ball,NA,NA,111.9,24.3,home_run,R,427,trout
FF,line_drive,-1.96,102.54,82.4,17.4,single,R,248,trout
FF,line_drive,-28.27,36.37,107.1,9.3,field_out,R,161,trout
CH,fly_ball,-71.55,172.14,114.4,19.6,home_run,R,440,trout
FC,fly_ball,33.91,143.46,103.4,41.7,field_out,R,350,trout
CH,fly_ball,47.72,148.78,103.9,37.1,field_out,R,369,trout
SL,line_drive,-92.71,90.68,106.7,5.2,double,R,115,trout
FF,fly_ball,48.24,61.05,62.4,31.6,single,R,189,trout
FF,fly_ball,78.59,108.35,99.6,45.8,field_out,R,316,trout
FT,ground_ball,-13.38,30.94,88.1,-18.3,field_out,R,8,trout
FC,fly_ball,61.86,122.79,97.3,43.7,field_out,R,326,trout
FF,ground_ball,-27.31,32.15,103.9,6.6,field_out,R,121,trout
CH,line_drive,-55.02,114.62,94.7,24.6,double,R,331,trout
FT,line_drive,-17.97,54.91,111.7,6.4,field_out,R,154,trout
SL,fly_ball,-4.6,163.77,108.3,37.7,home_run,R,NA,trout
FF,fly_ball,36.52,89.07,80.5,48.4,field_out,R,232,trout
CH,fly_ball,48.07,90.65,91.7,55,field_out,R,246,trout
SL,ground_ball,-20.77,31.22,70.7,1.3,field_out,R,32,trout
CU,line_drive,-95.39,109.63,98.3,23.7,double,R,343,trout
CU,ground_ball,5.78,12.16,60.3,-67,field_out,R,1,trout
FF,ground_ball,-25.72,27.91,93,6.9,field_out,R,105,trout
FF,ground_ball,22.55,33.51,69,7.5,field_out,R,94,trout
CH,ground_ball,-86.47,75.3,96.6,-4,double,R,21,trout
CH,fly_ball,-53.31,132.84,97.7,33.5,field_out,R,376,trout
FF,fly_ball,-106.01,124.97,99.8,27.1,home_run,R,375,trout
FF,line_drive,-39.76,130.61,86.6,25.2,field_out,R,326,trout
FF,popup,28.33,-5.4,80,69,field_out,R,NA,trout
FF,fly_ball,37.09,113.92,82,34.6,field_out,R,287,trout
FF,line_drive,74.53,135.53,102.6,22.1,field_out,R,365,trout
SL,fly_ball,16.78,127.88,94,41.7,field_out,R,308,trout
FF,line_drive,-0.39,96.3,77.2,18.9,single,R,234,trout
FF,line_drive,78.7,73.91,87.9,18.4,double,R,256,trout
SI,fly_ball,-17.14,149.55,90.5,30.8,field_out,R,358,trout
FF,fly_ball,-86.07,181.53,112.8,26.7,home_run,R,473,trout
SL,ground_ball,-24.54,129.34,109.6,6.1,single,R,140,trout
FT,fly_ball,20.28,142.06,104.6,39.7,field_out,R,359,trout
FF,line_drive,35.42,139.93,93.4,23.6,double,R,343,trout
FF,popup,45.97,19.78,80,69,field_out,R,NA,trout
FF,line_drive,-51.62,100.26,90.9,18.9,single,R,270,trout
FT,ground_ball,-20.21,42.73,84.6,1.5,grounded_into_double_play,R,48,trout
CU,ground_ball,-29.74,32.4,104.1,-0.9,field_out,R,30,trout
CU,line_drive,-3.03,127.76,95.3,15.4,single,R,266,trout
CU,ground_ball,-26.51,102.15,100.9,3.4,single,R,81,trout
FF,line_drive,64.44,71.5,85.4,18.3,single,R,230,trout
FT,ground_ball,-10.16,50.67,114.6,-11.5,field_out,R,8,trout
CH,fly_ball,-4.4,179.83,106.2,26.7,home_run,R,426,trout
CH,ground_ball,10.12,9.09,34.1,-4.4,force_out,R,41,trout
CH,ground_ball,-27.29,31.83,79.6,-11,force_out,R,11,trout
FF,popup,14.87,32.33,80,69,field_out,R,NA,trout
FF,ground_ball,-23.73,43,79.8,-1.6,force_out,R,30,trout
SL,line_drive,-35.41,152.72,108.5,16.3,double,R,365,trout
FF,fly_ball,-43.54,160.85,106.7,38.1,home_run,R,391,trout
SL,line_drive,33.27,160.01,104.4,22.4,sac_fly,R,387,trout
FF,ground_ball,-25.78,21.26,52.2,12.8,field_error,R,86,trout
FF,fly_ball,-52.63,84.63,84,49.6,field_out,R,240,trout
SL,fly_ball,49.96,108.92,93.8,43.4,field_out,R,285,trout
FT,line_drive,-83.12,113.36,115.3,16,double,R,333,trout
SL,fly_ball,73.92,95.75,93,42.1,field_out,R,300,trout
SL,ground_ball,18.19,21.25,64.3,-64.3,field_out,R,1,trout
null,ground_ball,-17.08,41.15,84,-13,field_out,R,NA,trout
null,popup,60.45,43.57,75,60,field_out,R,NA,trout
null,line_drive,-12.24,34.49,91,18,field_out,R,NA,trout
null,fly_ball,-40.1,108.38,89,38,field_out,R,NA,trout
null,ground_ball,-23.75,44.18,84,-13,field_out,R,NA,trout
SL,fly_ball,-42.58,159.45,103.2,33.2,home_run,R,392,trout
CH,ground_ball,-54.91,76.85,101.9,4.9,single,R,98,trout
CH,ground_ball,-24.4,30.01,82.9,-20.7,field_out,R,NA,trout
FT,ground_ball,-14.71,37.28,73.4,-42.8,field_out,R,3,trout
SL,popup,-46.71,72.64,75.3,52.8,field_out,R,208,trout
FT,ground_ball,-96.23,79.39,106.4,-2.5,double,R,23,trout
FC,fly_ball,75.92,86.27,83.9,30.5,field_out,R,272,trout
FT,ground_ball,-42.32,83.63,112.2,2.8,single,R,78,trout
FF,line_drive,-53.87,107.46,94.3,17.7,field_out,R,287,trout
FC,popup,31.85,43.93,77.1,66.6,field_out,R,133,trout
FF,ground_ball,-5.85,56.12,72.4,10,grounded_into_double_play,R,119,trout
FF,fly_ball,12.98,147.24,98.5,28.5,field_out,R,351,trout
FF,line_drive,-15.64,116.83,89,17,single,R,248,trout
SL,line_drive,-44.65,91.95,84.1,15.4,single,R,201,trout
FF,fly_ball,-52.22,99.59,79.2,35.1,field_out,R,270,trout
SL,line_drive,-30.95,34.63,103.7,10.4,field_out,R,164,trout
SL,line_drive,88.01,90.18,92.4,20.8,double,R,297,trout
FF,ground_ball,-16.23,54.94,116.6,5.5,field_out,R,108,trout
null,line_drive,7.6,143.44,91,18,field_out,R,NA,trout
FF,ground_ball,-25.76,31.83,97.2,-7,force_out,R,18,trout
SL,fly_ball,2.82,132.74,96,44.5,field_out,R,316,trout
FF,fly_ball,53.48,62.3,71.4,36,single,R,NA,trout
FF,ground_ball,21.51,30.09,54.7,-5.6,field_out,R,19,trout
SL,fly_ball,45.34,112.01,85.6,38.5,field_out,R,288,trout
FF,line_drive,11.15,127.84,103.1,12.4,single,R,253,trout
FC,ground_ball,-5,44.44,62.1,1.4,field_out,R,40,trout
FC,fly_ball,78.24,94.74,86.1,31.2,field_out,R,291,trout
CH,popup,-49.72,62.39,86.4,62.1,field_out,R,193,trout
FT,ground_ball,-12.88,48.05,75.5,-17.7,grounded_into_double_play,R,9,trout
FT,fly_ball,-2.55,92.64,67.2,31.7,single,R,226,trout
FT,ground_ball,-6.13,54.56,92.4,-4.7,field_out,R,23,trout
FF,fly_ball,78.14,101.8,92.9,42.1,field_out,R,313,trout
SI,line_drive,15.6,133.23,112.3,13.1,double,R,320,trout
FC,line_drive,64.52,142.78,103.9,20.1,double,R,370,trout
FF,ground_ball,-11.82,36.54,59.4,-12.4,field_out,R,13,trout
CH,fly_ball,-28.13,164.19,109.2,28.6,home_run,R,428,trout
FF,ground_ball,0.17,17.21,55.4,-17.9,field_out,R,9,trout
CH,line_drive,-17.12,48.2,112.9,8.1,field_out,R,151,trout
FF,line_drive,53.28,125.97,96.7,21.7,field_out,R,325,trout
FF,line_drive,20.71,102.27,77,23.2,single,R,252,trout
CU,fly_ball,10.64,158.01,98.7,25.4,field_out,R,375,trout
SI,ground_ball,-28.4,31.69,101.9,0,field_out,R,32,trout
SI,fly_ball,-38.4,125.42,85.6,36.2,field_out,R,313,trout
FF,ground_ball,-2.48,53.09,69.4,-22.5,field_out,R,7,trout
CU,line_drive,37.56,119.33,99.8,12.1,single,R,250,trout
FF,ground_ball,22.96,51.27,113.5,-0.1,field_out,R,53,trout
CH,popup,-0.66,77.92,91,60.3,field_out,R,213,trout
CH,ground_ball,18.11,17.96,90.3,-17.3,single,R,NA,trout
FF,line_drive,-24.06,56.88,56.6,22.3,field_out,R,154,trout
SI,ground_ball,-8.87,61.36,79.6,5.2,field_out,R,77,trout
CU,line_drive,NA,NA,83.5,21.1,field_out,R,290,trout
FF,ground_ball,3.7,12.92,107.7,-1.6,single,R,30,trout
FF,ground_ball,72.75,81.36,97.6,-24.2,single,R,4,trout
SL,line_drive,47.07,113.75,86.9,21.7,field_out,R,294,trout
SI,line_drive,-68.46,165.13,112.9,19.7,home_run,R,422,trout
CU,ground_ball,-15.46,29.88,82.9,-20.7,field_out,R,NA,trout
FF,fly_ball,-118.14,154.86,108.6,33.1,home_run,R,458,trout
FC,fly_ball,39.52,160.31,103.6,31.9,home_run,R,391,trout
FF,fly_ball,31.01,161.26,102.5,29.8,home_run,R,389,trout
FF,ground_ball,4.26,44.26,74.4,-10.6,grounded_into_double_play,R,14,trout
FF,fly_ball,83.46,96.67,89.7,39.2,field_out,R,301,trout
CH,fly_ball,-6.21,178.17,110.8,28.8,home_run,R,422,trout
SI,ground_ball,-12.66,58.34,108.9,-8.7,single,R,8,trout
FC,ground_ball,0.07,-4.63,82.9,-20.7,field_out,R,NA,trout
CH,fly_ball,45.19,71.42,92.2,60,field_out,R,214,trout
FC,line_drive,-47.38,91.19,81.1,18,single,R,205,trout
SI,fly_ball,28.03,119.1,85.4,36.3,field_out,R,292,trout
CH,ground_ball,-21.23,32.89,89.9,3.8,field_error,R,77,trout
FS,ground_ball,-26.02,30.94,99.2,-6.4,field_out,R,16,trout
CU,fly_ball,63.75,129.13,102,40.3,sac_fly,R,341,trout
SL,popup,25.32,65.21,59.8,31.4,field_out,R,172,trout
SI,line_drive,-23.28,153.37,106.7,17.3,double,R,369,trout
SI,ground_ball,26.07,44.26,97.9,-32.6,field_out,R,3,trout
FF,line_drive,62.24,144.93,101.2,23.4,double,R,372,trout
FF,ground_ball,-30.1,45.21,92.8,9.1,single,R,136,trout
FF,fly_ball,4.49,173.84,106.3,34.4,field_out,R,411,trout
FF,popup,47.12,23.41,80,69,field_out,R,NA,trout
FF,line_drive,-21.09,121.13,110.1,8.6,single,R,237,trout
SL,popup,56.81,39.77,80,69,field_out,R,NA,trout
FF,fly_ball,-25.89,151.33,101.6,33.3,field_out,R,364,trout
CU,fly_ball,-40.89,120.08,89.8,40.2,field_out,L,302,yelich
FF,popup,-13.91,38.2,80,69,field_out,L,NA,yelich
SL,ground_ball,46.66,79.39,100.7,-0.8,single,L,36,yelich
CH,ground_ball,39.02,56.77,81.1,10,single,L,135,yelich
SI,line_drive,-96.33,107.68,106.8,17.7,double,L,341,yelich
FC,ground_ball,60.51,83.98,111.8,-2.8,single,L,24,yelich
FT,line_drive,-52.54,67.66,72.4,17.6,single,L,178,yelich
CH,fly_ball,51.8,167.83,102.4,29.7,home_run,L,415,yelich
FT,line_drive,9.56,113.47,102.1,9.1,single,L,189,yelich
SI,ground_ball,30.83,47.64,96.1,-18.6,force_out,L,4,yelich
FF,fly_ball,31.49,132.83,103.7,46.5,field_out,L,324,yelich
SI,ground_ball,21.46,48.04,63.1,10.5,force_out,L,104,yelich
SI,fly_ball,47.99,99.35,80.5,43.3,field_out,L,262,yelich
FF,line_drive,-1.84,65.14,54.9,40,field_out,L,162,yelich
FF,line_drive,76.41,127.1,95.5,23.1,field_out,L,349,yelich
FT,line_drive,80.37,112.66,109.3,16.4,double,L,325,yelich
FF,fly_ball,-30.5,168.47,105.5,27.3,home_run,L,406,yelich
SL,ground_ball,22.35,44,85.1,-16.5,field_out,L,7,yelich
KC,fly_ball,14.73,187.11,110.8,28.4,home_run,L,443,yelich
SI,ground_ball,22.96,57.94,93.9,-7.3,field_out,L,11,yelich
FF,fly_ball,-79.63,105.01,88.3,30.3,field_out,L,312,yelich
FF,ground_ball,20.78,52.04,108.3,-10.3,field_out,L,9,yelich
FT,ground_ball,21.75,42.79,85.9,-13.6,force_out,L,8,yelich
FF,line_drive,-10.49,97.66,79.8,15.8,single,L,199,yelich
SI,ground_ball,-2.13,56.05,82.9,-20.7,field_out,L,NA,yelich
SI,ground_ball,42.09,111.77,110.5,4.6,double,L,119,yelich
SI,ground_ball,16.04,16.08,82.9,-20.7,field_out,L,NA,yelich
SL,ground_ball,-16.15,29.62,43.8,-21.1,single,L,6,yelich
FT,ground_ball,15.08,48.85,106.2,-20.8,fielders_choice,L,5,yelich
SL,fly_ball,56.29,84.79,86,51.6,field_out,L,242,yelich
SL,ground_ball,25.28,54.1,94.3,5.8,field_out,L,99,yelich
FF,line_drive,-74.75,76.78,87.6,16,single,L,211,yelich
CU,ground_ball,76.26,86.4,106.2,-2.1,single,L,28,yelich
FF,ground_ball,19.14,55.47,113.6,5.3,field_out,L,112,yelich
FF,line_drive,2.97,114.26,98.4,7.8,single,L,175,yelich
FF,fly_ball,-74.81,95.85,81.9,37.6,field_out,L,289,yelich
FT,ground_ball,21.14,38.55,76.3,-28.6,field_out,L,5,yelich
SL,line_drive,-31.75,124.33,98.7,17.8,single,L,306,yelich
FF,fly_ball,-27.85,145.76,99.6,38.8,field_out,L,351,yelich
KC,line_drive,95.64,96.7,99.9,12.5,double,L,195,yelich
